Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.19,-.25,-.10,-.17,-.11,-.22,-.19,-.11,-.15,-.24,-.23,-.18,-.18,***,***,-.13,-.17,-.21
1881,-.20,-.15,.03,.04,.05,-.19,.00,-.04,-.16,-.22,-.19,-.07,-.09,-.10,-.18,.04,-.08,-.19
1882,.15,.13,.04,-.17,-.15,-.23,-.17,-.08,-.15,-.24,-.17,-.36,-.12,-.09,.07,-.09,-.16,-.19
1883,-.30,-.37,-.13,-.18,-.17,-.08,-.07,-.14,-.21,-.11,-.23,-.11,-.18,-.20,-.34,-.16,-.10,-.19
1884,-.13,-.08,-.36,-.41,-.34,-.36,-.30,-.27,-.27,-.25,-.34,-.31,-.29,-.27,-.11,-.37,-.31,-.29
1885,-.59,-.34,-.27,-.42,-.46,-.44,-.34,-.32,-.29,-.24,-.24,-.11,-.34,-.35,-.41,-.38,-.37,-.26
1886,-.44,-.51,-.43,-.29,-.25,-.35,-.19,-.31,-.24,-.28,-.28,-.25,-.32,-.31,-.36,-.32,-.28,-.27
1887,-.73,-.58,-.36,-.36,-.31,-.25,-.26,-.36,-.26,-.36,-.26,-.34,-.37,-.36,-.52,-.34,-.29,-.29
1888,-.34,-.36,-.41,-.21,-.22,-.17,-.11,-.16,-.12,.01,.02,-.05,-.18,-.20,-.35,-.28,-.15,-.03
1889,-.10,.16,.06,.09,-.01,-.10,-.07,-.20,-.24,-.26,-.34,-.30,-.11,-.09,.01,.04,-.13,-.28
1890,-.43,-.45,-.41,-.30,-.40,-.25,-.28,-.39,-.37,-.25,-.44,-.32,-.36,-.36,-.39,-.37,-.31,-.35
1891,-.34,-.47,-.18,-.28,-.17,-.21,-.18,-.17,-.16,-.22,-.32,-.04,-.23,-.25,-.38,-.21,-.19,-.23
1892,-.29,-.12,-.40,-.33,-.23,-.22,-.31,-.27,-.17,-.14,-.42,-.39,-.27,-.25,-.15,-.32,-.27,-.24
1893,-.81,-.56,-.23,-.28,-.34,-.25,-.14,-.25,-.22,-.18,-.19,-.32,-.31,-.32,-.59,-.28,-.21,-.20
1894,-.53,-.30,-.24,-.46,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.22,-.31,-.32,-.38,-.34,-.30,-.26
1895,-.41,-.43,-.33,-.22,-.28,-.21,-.17,-.17,-.12,-.11,-.17,-.15,-.23,-.24,-.35,-.28,-.19,-.13
1896,-.23,-.13,-.27,-.31,-.16,-.12,-.03,-.06,-.08,.06,-.05,-.05,-.12,-.13,-.17,-.25,-.07,-.02
1897,-.16,-.17,-.14,-.03,-.02,-.12,-.03,-.10,-.09,-.13,-.19,-.21,-.12,-.10,-.13,-.07,-.08,-.14
1898,-.04,-.31,-.52,-.31,-.31,-.20,-.23,-.27,-.22,-.35,-.39,-.24,-.28,-.28,-.19,-.38,-.23,-.32
1899,-.17,-.39,-.36,-.21,-.23,-.32,-.16,-.09,-.06,-.04,.12,-.27,-.18,-.18,-.27,-.27,-.19,.01
1900,-.37,-.06,.00,-.10,-.09,-.11,-.14,-.09,-.06,.09,-.08,-.08,-.09,-.11,-.24,-.07,-.11,-.02
1901,-.22,-.11,.05,-.03,-.16,-.12,-.15,-.21,-.23,-.29,-.17,-.28,-.16,-.14,-.14,-.05,-.16,-.23
1902,-.17,-.09,-.28,-.28,-.33,-.32,-.28,-.31,-.29,-.30,-.37,-.43,-.29,-.27,-.18,-.30,-.30,-.32
1903,-.25,-.07,-.24,-.42,-.40,-.43,-.35,-.46,-.50,-.47,-.42,-.52,-.38,-.37,-.25,-.35,-.41,-.46
1904,-.64,-.59,-.52,-.51,-.52,-.49,-.52,-.49,-.56,-.39,-.18,-.34,-.48,-.50,-.58,-.52,-.50,-.38
1905,-.36,-.60,-.22,-.35,-.30,-.29,-.27,-.21,-.19,-.25,-.08,-.14,-.27,-.29,-.43,-.29,-.25,-.17
1906,-.29,-.30,-.19,-.06,-.26,-.20,-.23,-.20,-.28,-.21,-.38,-.15,-.23,-.23,-.24,-.17,-.21,-.29
1907,-.44,-.52,-.28,-.38,-.47,-.42,-.36,-.35,-.35,-.23,-.47,-.47,-.39,-.37,-.37,-.37,-.38,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.39,-.36,-.46,-.36,-.44,-.52,-.50,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.74,-.47,-.55,-.60,-.55,-.52,-.45,-.34,-.39,-.40,-.32,-.57,-.49,-.48,-.57,-.57,-.44,-.37
1910,-.43,-.42,-.52,-.44,-.35,-.39,-.35,-.37,-.39,-.42,-.57,-.68,-.44,-.43,-.47,-.43,-.37,-.46
1911,-.62,-.58,-.61,-.54,-.52,-.51,-.43,-.44,-.41,-.26,-.21,-.22,-.45,-.48,-.63,-.56,-.46,-.30
1912,-.26,-.15,-.38,-.18,-.22,-.24,-.43,-.55,-.58,-.58,-.40,-.44,-.37,-.35,-.21,-.26,-.41,-.52
1913,-.41,-.46,-.43,-.41,-.45,-.46,-.37,-.34,-.35,-.33,-.20,-.03,-.35,-.39,-.44,-.43,-.39,-.29
1914,.04,-.10,-.25,-.30,-.22,-.26,-.24,-.17,-.17,-.04,-.16,-.05,-.16,-.16,-.03,-.26,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.22,-.12,-.22,-.20,-.25,-.13,-.21,-.14,-.13,-.10,-.03,-.19,-.19
1916,-.13,-.16,-.29,-.31,-.36,-.49,-.37,-.28,-.36,-.33,-.47,-.82,-.36,-.31,-.17,-.32,-.38,-.39
1917,-.57,-.63,-.64,-.55,-.56,-.44,-.26,-.22,-.23,-.44,-.34,-.68,-.46,-.48,-.68,-.58,-.31,-.34
1918,-.48,-.35,-.25,-.45,-.44,-.37,-.32,-.32,-.17,-.06,-.12,-.30,-.30,-.33,-.50,-.38,-.34,-.12
1919,-.20,-.23,-.22,-.13,-.28,-.36,-.29,-.33,-.25,-.21,-.42,-.43,-.28,-.27,-.24,-.21,-.33,-.29
1920,-.25,-.27,-.12,-.25,-.27,-.36,-.30,-.26,-.22,-.26,-.27,-.47,-.28,-.27,-.32,-.21,-.31,-.25
1921,-.05,-.18,-.23,-.30,-.31,-.27,-.15,-.27,-.19,-.04,-.15,-.18,-.19,-.22,-.23,-.28,-.23,-.13
1922,-.34,-.45,-.15,-.23,-.33,-.31,-.27,-.33,-.35,-.32,-.14,-.20,-.29,-.28,-.32,-.24,-.30,-.27
1923,-.27,-.40,-.34,-.41,-.34,-.30,-.31,-.34,-.31,-.14,-.03,-.04,-.27,-.28,-.29,-.36,-.31,-.16
1924,-.23,-.23,-.09,-.31,-.19,-.27,-.29,-.36,-.32,-.35,-.21,-.44,-.27,-.24,-.17,-.19,-.31,-.29
1925,-.38,-.39,-.28,-.26,-.30,-.33,-.27,-.21,-.20,-.18,.05,.06,-.22,-.27,-.40,-.28,-.27,-.11
1926,.20,.02,.11,-.14,-.24,-.27,-.28,-.13,-.15,-.11,-.07,-.30,-.11,-.08,.09,-.09,-.23,-.11
1927,-.28,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.03,-.10,-.25,-.29,-.30,-.39,-.20,-.23,-.22,-.19,-.10,-.17,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.36,-.33,-.40,-.38,-.38,-.17
1930,-.31,-.27,-.11,-.25,-.24,-.22,-.22,-.15,-.16,-.12,.17,-.06,-.16,-.20,-.38,-.20,-.20,-.04
1931,-.11,-.21,-.11,-.23,-.20,-.08,-.04,-.04,-.07,.06,-.06,-.05,-.09,-.10,-.13,-.18,-.05,-.02
1932,.15,-.18,-.18,-.06,-.18,-.29,-.25,-.22,-.10,-.09,-.28,-.27,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.24,-.30,-.30,-.25,-.29,-.34,-.21,-.23,-.29,-.25,-.31,-.45,-.29,-.27,-.27,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.30,-.09,-.15,-.10,-.12,-.15,-.06,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.34,.14,-.14,-.38,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.08,-.27,-.23,-.18
1936,-.28,-.38,-.21,-.20,-.16,-.22,-.10,-.14,-.09,-.03,.01,-.01,-.15,-.16,-.28,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.06,-.05,-.03,.01,.09,.09,.08,-.08,-.03,-.02,-.02,-.14,-.02,.08
1938,.08,.04,.09,.06,-.10,-.17,-.09,-.05,.01,.15,.07,-.13,.00,.00,.01,.02,-.11,.08
1939,-.05,-.07,-.18,-.11,-.04,-.07,-.06,-.06,-.07,-.04,.07,.42,-.02,-.07,-.08,-.11,-.06,-.02
1940,-.01,.08,.09,.17,.10,.11,.12,.06,.15,.10,.16,.31,.12,.13,.16,.12,.10,.14
1941,.17,.30,.10,.16,.16,.13,.22,.14,.02,.35,.22,.21,.18,.19,.26,.14,.16,.20
1942,.29,.02,.05,.09,.10,.04,.00,-.04,-.03,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.10,.06,-.06,.08,.00,.05,.23,.19,.23,.08,.07,.09,.04,.01,.16
1944,.35,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.04,.20,.22,.27,.21,.17,.22
1945,.10,.01,.06,.19,.06,.00,.04,.26,.20,.18,.06,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.12,-.20,-.08,-.08,-.06,-.31,-.08,-.06,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.02,-.14,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.15,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.07,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.22,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.33,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.14,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.07,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.08,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.09,.02,.06,-.09,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
