Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.19,-0.25,-0.09,-0.16,-0.1,-0.21,-0.18,-0.1,-.15,-.24,-.22,-.18
1881,-0.2,-0.14,0.03,0.05,0.06,-0.19,0.0,-0.03,-.15,-.22,-.19,-.07
1882,0.16,0.14,0.04,-0.17,-0.14,-0.23,-0.16,-0.07,-.14,-.24,-.17,-.36
1883,-0.29,-0.36,-0.12,-0.18,-0.17,-0.07,-0.06,-0.13,-.21,-.11,-.23,-.11
1884,-0.13,-0.07,-0.35,-0.4,-0.33,-0.35,-0.3,-0.27,-.27,-.25,-.33,-.31
1885,-0.58,-0.34,-0.27,-0.42,-0.45,-0.43,-0.33,-0.31,-.28,-.23,-.24,-.10
1886,-0.44,-0.51,-0.43,-0.28,-0.24,-0.34,-0.18,-0.31,-.24,-.28,-.28,-.25
1887,-0.72,-0.57,-0.35,-0.35,-0.31,-0.25,-0.26,-0.35,-.26,-.35,-.26,-.33
1888,-0.34,-0.36,-0.41,-0.21,-0.22,-0.17,-0.11,-0.15,-.12,.01,.03,-.04
1889,-0.09,0.16,0.06,0.09,-0.01,-0.1,-0.07,-0.2,-.24,-.26,-.34,-.29
1890,-0.42,-0.45,-0.4,-0.3,-0.39,-0.25,-0.28,-0.39,-.37,-.25,-.44,-.32
1891,-0.33,-0.46,-0.18,-0.27,-0.16,-0.21,-0.17,-0.17,-.15,-.21,-.31,-.03
1892,-0.29,-0.12,-0.4,-0.33,-0.23,-0.22,-0.31,-0.27,-.17,-.14,-.42,-.39
1893,-0.81,-0.56,-0.22,-0.28,-0.34,-0.25,-0.14,-0.25,-.22,-.18,-.19,-.32
1894,-0.53,-0.29,-0.23,-0.45,-0.31,-0.41,-0.24,-0.24,-.28,-.23,-.26,-.21
1895,-0.41,-0.43,-0.33,-0.22,-0.28,-0.21,-0.17,-0.17,-.12,-.11,-.17,-.14
1896,-0.23,-0.13,-0.26,-0.31,-0.16,-0.11,-0.03,-0.05,-.07,.06,-.05,-.05
1897,-0.16,-0.17,-0.14,-0.03,-0.02,-0.12,-0.03,-0.09,-.09,-.13,-.18,-.21
1898,-0.03,-0.31,-0.52,-0.31,-0.31,-0.2,-0.23,-0.27,-.22,-.35,-.39,-.24
1899,-0.17,-0.39,-0.37,-0.21,-0.23,-0.32,-0.16,-0.09,-.06,-.05,.12,-.27
1900,-0.37,-0.06,0.0,-0.1,-0.09,-0.11,-0.13,-0.09,-.06,.09,-.08,-.07
1901,-0.23,-0.12,0.05,-0.03,-0.15,-0.12,-0.15,-0.21,-.23,-.30,-.17,-.28
1902,-0.17,-0.09,-0.28,-0.29,-0.33,-0.32,-0.28,-0.31,-.30,-.30,-.37,-.43
1903,-0.25,-0.06,-0.24,-0.42,-0.4,-0.43,-0.35,-0.46,-.50,-.47,-.42,-.51
1904,-0.64,-0.59,-0.52,-0.51,-0.52,-0.49,-0.52,-0.49,-.56,-.40,-.18,-.34
1905,-0.36,-0.6,-0.22,-0.35,-0.3,-0.29,-0.27,-0.2,-.20,-.26,-.08,-.14
1906,-0.29,-0.3,-0.19,-0.06,-0.26,-0.2,-0.23,-0.21,-.29,-.21,-.39,-.15
1907,-0.44,-0.52,-0.28,-0.38,-0.47,-0.43,-0.36,-0.35,-.35,-.24,-.47,-.47
1908,-0.46,-0.33,-0.56,-0.45,-0.39,-0.39,-0.36,-0.47,-.37,-.45,-.53,-.50
1909,-0.74,-0.47,-0.55,-0.6,-0.55,-0.53,-0.46,-0.34,-.40,-.41,-.33,-.57
1910,-0.43,-0.42,-0.51,-0.43,-0.35,-0.39,-0.35,-0.37,-.40,-.42,-.58,-.68
1911,-0.63,-0.59,-0.62,-0.55,-0.52,-0.51,-0.43,-0.44,-.42,-.27,-.22,-.22
